"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","03 Jan 2014","-","-","-","2449.98"
"NIFTY SMALLCAP 250","02 Jan 2014","-","-","-","2430.00"
"NIFTY SMALLCAP 250","01 Jan 2014","-","-","-","2485.39"
"NIFTY SMALLCAP 250","31 Dec 2013","","","","2452.50"
"NIFTY SMALLCAP 250","30 Dec 2013","-","-","-","2439.95"
"NIFTY SMALLCAP 250","27 Dec 2013","","","","2441.10"
"NIFTY SMALLCAP 250","26 Dec 2013","-","-","-","2438.43"
"NIFTY SMALLCAP 250","24 Dec 2013","","","","2412.00"
"NIFTY SMALLCAP 250","23 Dec 2013","-","-","-","2393.04"
"NIFTY SMALLCAP 250","20 Dec 2013","","","","2362.10"
"NIFTY SMALLCAP 250","19 Dec 2013","-","-","-","2320.12"
"NIFTY SMALLCAP 250","18 Dec 2013","-","-","-","2322.80"
"NIFTY SMALLCAP 250","17 Dec 2013","","","","2291.90"
"NIFTY SMALLCAP 250","16 Dec 2013","-","-","-","2293.46"
"NIFTY SMALLCAP 250","13 Dec 2013","-","-","-","2285.40"
"NIFTY SMALLCAP 250","12 Dec 2013","-","-","-","2311.87"
"NIFTY SMALLCAP 250","11 Dec 2013","","","","2316.10"
"NIFTY SMALLCAP 250","10 Dec 2013","-","-","-","2313.52"
"NIFTY SMALLCAP 250","09 Dec 2013","-","-","-","2331.00"
"NIFTY SMALLCAP 250","06 Dec 2013","","","","2323.10"
"NIFTY SMALLCAP 250","05 Dec 2013","-","-","-","2316.61"
